prefecture	facility	product	facility_label_maker	legal_manufacturer	japan_mah_or_supplier	evidence_type	evidence_url	note
宮崎県	整形外科 押領司病院	APS		Zimmer Biomet	Zimmer Biomet	FACILITY_OFFICIAL_PRODUCT_MAP	https://oryoji.or.jp/regenerative-medicine/	Official page documents APS treatment; manufacturer from validated APS registry.
愛知県	あいせい紀年病院	ACP		Arthrex	Arthrex Japan	FACILITY_OFFICIAL_PRODUCT_MAP	https://www.aisei-hp.or.jp/examination/prp.php	Official page documents ACP-PRP; manufacturer from validated ACP registry.
東京都	つくる整形外科 祐天寺駅前スポーツクリニック		Arthrex	Arthrex	Arthrex Japan	FACILITY_OFFICIAL_EXPLICIT	https://tsukuruseikei.jp/menu/prp療法/	Official page explicitly states use of Arthrex PRP kit.
東京都	葛西駅前あおぞら整形外科クリニック	APS		Zimmer Biomet	Zimmer Biomet	FACILITY_OFFICIAL_PRODUCT_MAP	https://aozora-seikei.com/regenerative-medicine/	Official page documents APS therapy; manufacturer from validated APS registry.
兵庫県	兵庫県立リハビリテーション中央病院	APS		Zimmer Biomet	Zimmer Biomet	FACILITY_OFFICIAL_PRODUCT_MAP	https://hwc-sports.jp/treatments/	Official sports medicine page states APS treatment; manufacturer from validated APS registry.
愛媛県	医療法人 鎌野病院	ACP		Arthrex	Arthrex Japan	FACILITY_OFFICIAL_PRODUCT_MAP	https://www.kamano-hospital.com/prp/index.html	Official hospital page states ACP PRP treatment; manufacturer from validated ACP registry.
鹿児島県	鹿児島中央整形外科スポーツクリニック	ACP		Arthrex	Arthrex Japan	FACILITY_OFFICIAL_PRODUCT_MAP	https://kco-sports.jp/prp療法	Official clinic page states ACP therapy; manufacturer from validated ACP registry.
群馬県	ぐんまスポーツ整形外科	ACP	Arthrex	Arthrex	Arthrex Japan	FACILITY_OFFICIAL_EXPLICIT_HISTORICAL	https://gun-spo.com/prp/	Official page explicitly states Arthrex ACP Double Syringe; already counted in earlier canonical checkpoint, added here for audit traceability only.
千葉県	医療法人社団曙会 流山中央病院	ACP		Arthrex	Arthrex Japan	FACILITY_OFFICIAL_PRODUCT_MAP	https://nch.or.jp/department/medical-examination/orthopedics/prp%EF%BC%9A%E5%86%8D%E7%94%9F%E5%8C%BB%E7%99%82/	Current official hospital page explicitly labels the treatment PRP:ACP; manufacturer from validated ACP registry. Also present in previously collected Arthrex Japan facility locator.
兵庫県	たちはら整形外科・肩とスポーツのクリニック	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; punctuation-normalized unique prefecture match.
宮崎県	くもん整形外科 スポーツ・骨関節クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; shorter locator label uniquely matches current facility in Miyazaki.
広島県	医療法人社団成和会 うたのはら整形外科クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; legal-prefix-stripped unique prefecture match.
広島県	医療法人龍樹会 池田整形外科リハビリテーションクリニック	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Zimmer Biomet APS locator; exact facility and street-address match.
香川県	香川県厚生農業協同組合連合会 屋島総合病院	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; unique prefecture match.
滋賀県	一般社団法人スピナレピオス 淡海せぼねクリニック	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; unique prefecture match.
滋賀県	医療法人翠蓮会 とがの整形外科クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; unique prefecture match.
鹿児島県	医療法人吉祥会 吉井整形外科内科中央病院	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; legal-prefix-stripped unique prefecture match.
神奈川県	東海大学医学部付属病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Zimmer Biomet APS locator at 伊勢原市下糟屋143; exact hospital identity.
静岡県	医療法人社団オステオケア ないとう整形外科クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; legal-prefix-stripped unique prefecture match.
千葉県	医療法人社団志高会 たてやま整形外科クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; legal-prefix-stripped unique prefecture match; upgrades batch07 unresolved.
大阪府	医療法人想千あわ整形外科クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; unique legal-prefix-stripped Osaka match.
大阪府	医療法人桂礼会 小阪医院	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; unique Osaka match.
大阪府	社会医療法人報恩会 長吉総合病院	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; unique Osaka match.
東京都	医療法人社団平成会 たいら整形外科クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; unique Tokyo match.
東京都	社会福祉法人 みどり福祉会 B&Jクリニック お茶の水	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; unique Tokyo match.
東京都	社会福祉法人同愛記念病院財団 同愛記念病院	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; unique Tokyo match.
福岡県	医療法人HMC ブレインメディカルクリニック博多	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; unique Fukuoka match.
和歌山県	医療法人琉憲会 ナカイマ整形外科クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator ACP-PRP; unique Wakayama match.
京都府	医療法人社団貴順会吉川病院	ACP	Arthrex	Arthrex	Arthrex Japan	MANUFACTURER_LOCATOR_MANUAL_MATCH	https://seikei-saisei.jp/institution.html	Arthrex Japan locator uses 𠮷川病院; current MHLW uses 吉川病院; unique legal-entity match.
神奈川県	内田宙司整形外科	PRGF-Endoret	BTI	BTI Biotechnology Institute	BTIジャパン	MHLW_EXACT_PLAN_EXPLICIT	https://saiseiiryo.mhlw.go.jp/published_plan/download/01C2508047/5/0	Exact MHLW plan states Spanish BTI commercialization and use of BTI-made centrifuge; current plan fee 110,000 yen.
青森県	弘前大学医学部附属病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR_PLUS_MHLW	https://seikei-saisei.jp/institution.html	V40 core F0413; exact current Arthrex locator match; current MHLW plan also names Arthrex ACP/ACP MAX/Angel.
山形県	国立大学法人山形大学医学部附属病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 core F0159; exact facility/address match to Arthrex ACP-PRP locator.
山形県	医療法人徳洲会 山形徳洲会病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 core F0160; Arthrex ACP-PRP locator exact match.
山形県	医療法人徳洲会 山形徳洲会病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0160; Zimmer PRP/APS locator exact address match.
山形県	志田整形外科医院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 core F0161; exact facility/address match to Arthrex ACP-PRP locator.
北海道	医療法人 五輪橋整形外科病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0042; exact address match; locator lists APS.
北海道	医療法人悠康会 函館整形外科クリニック	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0046; exact address match; locator lists APS.
北海道	医療法人社団くわのみ会 桑園整形外科	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0036; exact address match; locator lists APS.
北海道	医療法人社団三慈会 釧路三慈会病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0041; exact address match; locator lists APS.
北海道	小樽市立病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core F0044; exact address match; locator lists ACP-PRP.
北海道	整形外科進藤病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0047; exact address match; locator lists APS.
北海道	社会医療法人社団 朋仁会 整形外科 北新病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0053; exact address match; locator lists APS.
北海道	社会医療法人北斗 北斗病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0051; exact address match; locator lists APS.
宮城県	JR仙台病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0142; exact address match; locator lists APS.
宮城県	関節外科スポーツクリニック石巻	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core F0148; exact address match; locator lists ACP-PRP.
岩手県	盛岡ふじさわ整形外科クリニック	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0173; exact address match; locator lists APS.
青森県	八戸平和病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core F0412; current Arthrex ACP-PRP locator exact address match.
青森県	医療法人なかざわ整形外科 なかざわスポーツクリニック	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core F0410; current Arthrex ACP-PRP locator exact address match.
福島県	公立藤田総合病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core F0391; current Arthrex ACP-PRP locator exact address match.
埼玉県	東松山市立市民病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0095; current Zimmer PRP/APS locator exact address match.
埼玉県	社会医療法人新青会 川口工業総合病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core F0098; current Arthrex ACP-PRP locator exact address match.
宮崎県	橘病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core F0153; current locator uses 医療法人社団橘会 橘病院 at same address.
宮崎県	あたご整形外科	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0149; current Zimmer PRP/APS locator exact address match.
富山県	整形外科センター西能クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core F0154; current Arthrex ACP-PRP locator exact facility/address match.
富山県	整形外科センター西能クリニック	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0154; current Zimmer PRP/APS locator exact facility/address match.
山梨県	市立甲府病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0459; current Zimmer PRP/APS locator exact address match.
岡山県	医療法人社団河合会 新倉敷メディカルスクエア	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0169; current Zimmer PRP/APS locator exact address match.
愛媛県	住友別子病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core F0195; current Arthrex ACP-PRP locator exact address match.
愛媛県	愛媛大学医学部附属病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0197; current Zimmer PRP/APS locator exact facility match.
神奈川県	横浜市立市民病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://seikei-saisei.jp/institution.html	V40 core F0356; current Arthrex ACP-PRP locator exact address match.
福岡県	後藤整形外科医院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0379; current Zimmer APS locator exact address match.
福岡県	北九州総合病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0378; current locator legal-prefix variant at exact address.
鹿児島県	公益社団法人鹿児島共済会 南風病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 core F0434; current Arthrex ACP-PRP locator match.
鹿児島県	公益社団法人鹿児島共済会 南風病院	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0434; current Zimmer APS locator exact address match.
鹿児島県	医療法人術徳会 霧島整形外科クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 core F0438; current Arthrex ACP-PRP locator match.
鹿児島県	医療法人術徳会 霧島整形外科クリニック	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	V40 core F0438; current Zimmer APS locator exact address match.
鹿児島県	医療法人明正会 今林整形外科病院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 core F0433; current Arthrex ACP-PRP locator exact facility match.
長崎県	医療法人山口整形外科医院	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 core F0401; current Arthrex ACP-PRP locator match.
福岡県	医療法人松口整形外科クリニック	ACP	Arthrex	Arthrex	Arthrex Japan	V40_CORE_PLUS_MANUFACTURER_LOCATOR	https://seikei-saisei.jp/institution.html	V40 core F0381; current Arthrex locator lists ACP-PRP/HD-PRP.
広島県	寛田クリニック	APS	Zimmer Biomet	Zimmer Biomet	Zimmer Biomet	V40_CORE_PLUS_MANUFACTURER_LOCATOR_ADDRESS_MATCH	https://m.kansetsu-life.com/saisei/index.php	Existing Arthrex facility; add Zimmer APS from exact-address current locator.
